Id,Prediction
81,1
916,0
1138,1
1203,1
1494,1
1524,1
1531,1
1553,1
1663,1
1668,1
1835,1
1896,0
1935,0
2198,1
2215,1
2316,1
2352,0
2478,1
2535,1
2647,1
2715,0
2721,1
2872,1
3109,1
3356,1
3390,1
3395,0
3569,1
3887,0
3992,0
4057,1
4249,0
5166,0
5171,1
5477,0
5807,0
6669,0
6679,0
6891,0
7039,0
7991,0
8095,0
8372,1
8387,0
8397,1
8421,0
8461,0
9138,0
9287,1
9348,0
9703,1
9993,1
10047,0
10934,0
11414,0
11498,1
11527,1
11560,0
11623,0
11819,0
11825,0
11895,1
12006,1
12043,0
12071,1
12356,0
12674,0
13166,0
13229,1
13874,0
14024,0
14073,1
14177,0
14263,0
14310,0
15235,1
15441,0
15468,1
15726,0
15979,0
16121,1
16162,0
16324,0
16354,0
16392,0
16562,0
16693,0
17367,1
17400,1
17782,1
17941,1
18107,1
18124,1
18259,1
18278,1
18286,1
18530,1
18534,1
18548,1
18811,0
18812,1
18829,1
18897,1
18949,1
19053,1
19191,1
19200,1
19570,1
19724,1
19772,0
19823,1
19857,1
20453,1
20517,1
20547,0
20643,1
20993,1
20996,1
21102,1
21192,1
21208,1
21373,1
21380,1
21407,1
21436,1
21481,1
21540,1
21677,1
21872,0
21960,1
21972,1
22111,1
22114,1
22134,1
22170,1
22186,1
22226,1
22267,1
22544,1
22658,1
22704,1
22738,1
22741,1
22815,1
22879,1
22939,1
22978,1
23100,1
23133,1
23168,1
23271,1
23294,1
23758,0
23788,0
23992,0
23998,0
24439,0
24743,1
24781,1
24834,1
24850,1
24855,1
24879,1
24947,1
24964,1
25056,1
25064,1
25072,1
25098,1
25102,1
25116,1
25152,1
25313,1
25317,1
25331,1
25333,1
25338,1
25372,1
25390,1
25404,1
25466,1
25488,1
25596,1
25644,1
25724,1
25769,1
25774,1
25792,1
25840,1
25877,1
25902,1
25909,1
25934,0
25983,1
26009,1
26052,1
26061,1
26288,0
26363,1
26402,1
26608,1
26703,1
26804,0
26885,1
26933,1
26984,1
27178,0
27378,1
27761,0
27902,0
28225,0
28844,0
28865,1
28926,1
28971,1
29036,1
29044,1
29274,1
29469,1
29504,1
29521,0
29525,1
29569,1
29705,1
29781,1
29796,1
29881,1
29953,1
29958,1
30289,1
30547,0
30634,1
31037,0
31457,0
31476,1
31598,0
31703,0
31795,1
31979,1
32032,1
32460,1
32508,1
32521,1
32700,1
32754,1
33024,0
33040,1
33281,1
33339,1
33439,1
33577,1
33622,1
33876,1
